SP3	136.955	143.4	6.445	vabbè però jà non è che ha esagerato sono degli affettati con l'insalata cioè è un pranzo: [m:h secondo me] non trop[po:]
SP2	141.944	142.496	0.552	[allora rosa]
SP2	142.98	145.619	2.639	[te lo giu]ro ti ti fidi di me quando ti ti dico una cosa? cioè non dic~ non ti ho mai detto una bugia in vita mia a te
SP2	145.869	147.885	2.016	 cioè non dic~ non ti ho mai detto una bugia in vita mia a te
SP2	148.649	148.893	0.244	allò
SP2	150.549	151.418	0.869	ho messo MEZZA
SP2	151.882	152.946	1.064	cosa di iceberg
SP2	153.498	154.256	0.758	poi c'ho messo
SP2	154.766	158.134	3.368	<QUATTRO FETTE> CONTATE di salame tagliate a cubetti
SP2	158.904	162.693	3.789	MEZZO PEZZO di auricchio ((ride)) cioè: di provolone tagliato a cubetti
SP2	163.23	167.93	4.7	E DUE FETTINE DI PANE tagliate a cubetti saltate in padella che le ho fatte tipo: crostino
SP3	167.961	168.25	0.289	m:h
SP2	168.29	168.635	0.345	basta
SP2	170.365	174.272	3.907	que~ [ah e una una carota] che l'ho tagliata piccolina piccolina
SP3	170.432	171.828	1.396	[xxxxx]
SP3	174.278	175.569	1.291	secondo me la carota non ci stava be~
SP2	175.571	176.241	0.67	invece stava bene
SP3	176.35	176.633	0.283	sì?
SP3	177.294	180.19	2.896	no comunque no per m[e è] un [pranzo standard]
SP2	178.469	178.753	0.284	[mh]
SP2	179.144	180.587	1.443	[non è un pranzo gra]ss[o]
SP3	180.469	180.862	0.393	[no:]
SP2	183.755	185.46	1.705	pranzo che è terminato col gelato
SP3	185.926	186.221	0.295	ah
SP2	186.545	187.533	0.988	[NON SOLO PER ME]
SP3	186.545	187.221	0.676	[questo già]
SP2	187.701	188.451	0.75	ma anche per lui
SP2	188.57	188.938	0.368	[quindi]
SP3	188.582	192.95	4.368	[vabbè] comunque però in generale state un pochino: dando alla pazza gioia eh
SP1	191.866	192.474	0.608	[<ma: io>]
SP1	192.992	199.56	6.568	ma io non sto dicendo MATTEO stai mangiando come il maiale matteo avrai il diabete sto dicendo matteo entrambi
SP1	200.018	201.629	1.611	assumiamoci le responsabilità
SP1	202.193	208.56	6.367	che noi già viviamo in una terra di merda che ci porta naturalmente a morire prima poi mangiamo anche molto male
SP3	208.56	210.751	2.191	però tipo ieri avete mangiato [patatine fritte]
SP2	209.673	211.001	1.328	[parla per te io non abito] qua
SP1	212.711	213.7	0.989	#matteo ma va cach
SP3	214.615	215.968	1.353	avete mangiato [xxx ?]
SP2	215.037	217.762	2.725	[sì ma questo gay dra]ma non ho capito: sta cosa che
SP2	220.856	222.332	1.476	per forza dobbiamo litigarci ogni volta
SP1	224.951	230.17	5.219	°ma se vuoi: possiamo anche non litigare più (se vuoi° me ne posso) tornare a casa mia
SP2	230.232	233.403	3.171	((ride)) è già l'ennesima volta che lo dici ja
SP2	234.68	236.398	1.718	lo sai che non è quello che voglio quindi:
SP1	237.369	239.511	2.142	beh forse mi sono scocciato di stare [qua?]
SP2	239.074	242.992	3.918	[bra fo]rse se se tu ti sei scocciato ti riaccompagno però se è per me lo sai che non è così
SP2	244.678	247.937	3.259	evitiamo di continuare questo discorso al momento che: non mi sembra il caso
SP3	253.199	256.449	3.25	no anche perché mi deve venire il ciclo mi metto a piangere se litigate
SP2	256.505	256.82	0.315	no amo'
SP2	257.053	259.141	2.088	mo ci mangiamo il gelato così ti facciamo stare felice
SP1	259.146	259.456	0.31	ecco qua
SP3	260.405	262.183	1.778	aspe' xx jà digeri[amo]
SP2	262.094	263.378	1.284	[sì] mi fumo una <sigaretta>
