PKP125	692.684	694.583	1.899	c'ha messo [dentro l'ori]gano tuttavia
PKP125	739.818	740.206	0.388	[cosa]?
PKP125	745.614	745.913	0.299	vabbè
PKP125	746.410	747.000	0.590	che problema hai
PKP125	749.947	751.359	1.412	vabbè meglio così in realtà eh
PKP125	754.381	755.013	0.632	cioè voglio dire
PKP125	755.443	760.263	4.820	che non la vuoi: che è sala:~ cioè che non vuoi mettere il sale nel condimento della pasta però:
PKP125	760.551	763.181	2.630	non salare l'acqua quando la bolli e: illega[le]
PKP125	763.360	763.855	0.495	[non si fa]
PKP125	773.065	773.991	0.926	vabbè meglio così
PKP125	780.170	782.099	1.929	io comunque non so voi ho ancora fame voi?
PKP125	785.672	787.643	1.971	io volevo le m:h zucchine di rosanna
PKP125	787.907	789.840	1.933	le avete mangiate [tutte quante]
PKP125	794.133	794.520	0.387	vabbè
PKP125	808.946	811.692	2.746	ma a me neanche piacciono mi piacciono solo quelle di mamma
PKP125	815.656	817.315	1.659	fanno s[chif]o sanno di zenzero
PKP125	824.827	825.618	0.791	no non sono buone
PKP125	825.942	826.745	0.803	sono brutte proprio
PKP125	832.655	833.254	0.599	beh è peccato
PKP125	837.221	840.251	3.030	[però sono veramente bru]tte queste °mamma mia sembrano finte ma che è°
PKP125	842.272	843.545	1.273	non hanno texture sono
PKP125	845.854	848.802	2.948	io un tempo compravo quella là:: della lidl
PKP125	850.507	851.327	0.820	BARESA
PKP125	857.153	857.877	0.724	[COSTANO EH]
PKP125	858.737	859.786	1.049	[cos]tano queste
PKP125	863.356	863.951	0.595	((ride))
PKP125	864.368	865.302	0.934	ha fatto i [soldi]
PKP125	872.108	874.598	2.490	vabbè ma: le: raga~ loro vanno anche alla conad no?
PKP125	884.862	887.081	2.219	[be]h il pane della conad al gio[lì::]
PKP125	888.709	890.205	1.496	mamma mia mai mangiato un pane così
PKP125	893.700	897.797	4.097	è più buono anche di quello al villaggio: della paninoteca: [eh della:: pa~]
PKP125	898.343	898.791	0.448	°come si chiama°
PKP125	899.040	899.659	0.619	[panetteria]
PKP125	902.075	903.054	0.979	è molto molto buono
PKP125	905.278	906.668	1.390	e poi quando c'è la polacca là
PKP125	907.181	908.397	1.216	mi fa ridere tantissimo
PKP125	911.543	913.272	1.729	[m:h] no [c'è anche un'altra] signora
PKP125	913.539	914.754	1.215	fa AMORE COSA TI DO
PKP125	915.747	916.405	0.658	TESORO
PKP125	917.803	918.692	0.889	niente più CARO?
PKP125	923.503	924.552	1.049	[SIGNORA BEL]LA
PKP125	926.051	926.886	0.835	mi fa ridere un sacco
PKP125	949.741	953.454	3.713	aprile dai amo' queste so' veramente brutte tu le v~ le mangi però?
PKP125	954.208	954.498	0.290	NO
PKP125	957.876	958.721	0.845	madonna dai
PKP125	969.864	972.180	2.316	se voi le mangiate perché sono brutte
PKP125	973.057	975.084	2.027	cioè magari a voi piacciono >non lo so<
PKP125	975.692	976.649	0.957	tua madre non le fa?
PKP125	978.046	978.376	0.330	no?
PKP125	979.930	981.327	1.397	ma quello è stressante [mamma mia]
PKP125	984.295	985.768	1.473	°eh si scocc~° ma pure mia mamma
PKP125	986.036	988.241	2.205	io a volte l'aiuto a mia mamma a farle ma ti uccidi
PKP125	989.052	990.852	1.800	è proprio: fisicamente stancante
PKP125	992.499	995.622	3.123	#tagliarle, strizzarle: poi c vo' nu sacch e aceto
PKP125	1011.036	1011.409	0.373	[mhm]h
PKP125	1024.258	1024.827	0.569	[e::h]
PKP125	1038.152	1040.463	2.311	no non possiamo fare una dieta vegana noi mi sa
PKP125	1054.245	1054.454	0.209	[xx]
PKP125	1056.251	1058.451	2.200	gran parte dei formaggi non sono vegetariani
PKP125	1062.766	1063.208	0.442	[IL] CAGLIO
PKP125	1067.639	1068.056	0.417	[artificiale?]
PKP125	1075.702	1076.513	0.811	nel [budello]
PKP125	1093.152	1093.594	0.442	[cosa?]
PKP125	1114.246	1116.110	1.864	chissà com'è nata la produzione di tofu
PKP125	1121.333	1122.036	0.703	vabbè il tofu
PKP125	1122.515	1123.098	0.583	alla fine
PKP125	1123.210	1124.195	0.985	[è una formaggio]
PKP125	1124.418	1125.061	0.643	un formaggiu
PKP125	1125.281	1127.100	1.819	for[maggio: di]:: soia
