Transcript_ID	num_speakers	transcribed_minutes	num_total_tokens	num_linguistic_tokens	num_metaling_tokens	num_shortpauses	num_unknown	num_errors	num_overlaps	num_intonation_patterns	num_low_volume_spans	num_guessing_spans	num_fast_pace_spans	num_slow_pace_spans	num_prolongations	annotator	reviewer	transcription_type	expertise	accuracy	minutes_experience	sec30	sec60	sec90	sec120	sec_assignment	num_tu::0	num_tu::1	num_tu::2	num_tu::3	num_tu::4	num_tu::5	num_tu::6	num_tu::7	num_tu::8	num_tu::9	num_tu::10	tokens_per_minute::0	tokens_per_minute::1	tokens_per_minute::2	tokens_per_minute::3	tokens_per_minute::4	tokens_per_minute::5	tokens_per_minute::6	tokens_per_minute::7	tokens_per_minute::8	tokens_per_minute::9	tokens_per_minute::10	avg_duration_per_min::0	avg_duration_per_min::1	avg_duration_per_min::2	avg_duration_per_min::3	avg_duration_per_min::4	avg_duration_per_min::5	avg_duration_per_min::6	avg_duration_per_min::7	avg_duration_per_min::8	avg_duration_per_min::9	avg_duration_per_min::10	avg_tokens_per_min::0	avg_tokens_per_min::1	avg_tokens_per_min::2	avg_tokens_per_min::3	avg_tokens_per_min::4	avg_tokens_per_min::5	avg_tokens_per_min::6	avg_tokens_per_min::7	avg_tokens_per_min::8	avg_tokens_per_min::9	avg_tokens_per_min::10
03_StraParlaA	2	5.043750000000001	943	902	3	36	2	0	140	11	7	2	0	2	26		Eleonora	Revised	-	-	-	-	-	-	-	-	28	63	97	131	154	0	0	0	0	0	0	174	380	579	772	943	0	0	0	0	0	0	1.9577142857142857	1.9147460317460316	1.8885670103092786	1.8679465648854967	1.965097402597403	0.0	0.0	0.0	0.0	0.0	0.0	6.214285714285714	6.031746031746032	5.969072164948454	5.893129770992366	6.123376623376624	0.0	0.0	0.0	0.0	0.0	0.0
01_ParlaBOB_N	2	2.826916666666666	516	503	2	8	3	0	32	21	2	4	17	0	44	N	-	From-Scratch	no			64	117	180	187	-	24	48	65	69	0	0	0	0	0	0	0	169	346	501	516	0	0	0	0	0	0	0	2.3272500000000003	2.27075	2.5071076923076916	2.4581884057971006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.041666666666667	7.208333333333333	7.707692307692308	7.478260869565218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02_PastiA_M	4	4.152666666666667	866	843	8	7	8	0	57	17	2	9	5	1	76	M	-	Whisper-Assisted	no			67	162	239	284	740	30	57	85	120	145	0	0	0	0	0	0	171	363	544	740	866	0	0	0	0	0	0	1.6980666666666666	1.823824561403508	1.8096588235294118	1.7392083333333337	1.7183448275862068	0.0	0.0	0.0	0.0	0.0	0.0	5.7	6.368421052631579	6.4	6.166666666666667	5.972413793103448	0.0	0.0	0.0	0.0	0.0	0.0
01_PastiA_R	3	2.698133333333334	558	552	4	0	2	0	34	9	2	3	2	0	6	R	-	From-Scratch	no			40	72	135	185	-	29	56	83	88	0	0	0	0	0	0	0	164	356	532	558	0	0	0	0	0	0	0	1.7109655172413791	1.8989821428571432	1.8578674698795188	1.8396363636363644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.655172413793103	6.357142857142857	6.409638554216867	6.340909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03_StraParlaB	2	3.3528000000000002	586	573	2	10	1	0	84	8	3	1	0	2	37		Eleonora	Revised	-	-	-	-	-	-	-	-	22	54	84	91	0	0	0	0	0	0	0	155	364	537	586	0	0	0	0	0	0	0	2.271136363636364	2.2463333333333333	2.153595238095238	2.2106373626373625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.045454545454546	6.7407407407407405	6.392857142857143	6.43956043956044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03_StraParlaC	3	2.676833333333333	452	434	4	10	4	0	64	8	10	2	2	0	20		Eleonora	Revised	-	-	-	-	-	-	-	-	29	52	64	0	0	0	0	0	0	0	0	149	353	452	0	0	0	0	0	0	0	0	1.9945862068965519	2.4554230769230774	2.5095312499999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.137931034482759	6.788461538461538	7.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02_ParlaBOA_L	2	4.112333333333334	788	769	7	12	0	0	54	57	5	0	3	0	52	L	-	Whisper-Assisted	no			51	118	224	280	611	32	59	82	106	128	0	0	0	0	0	0	163	353	518	669	788	0	0	0	0	0	0	1.59	1.848813559322034	1.953658536585366	1.9880188679245279	1.92765625	0.0	0.0	0.0	0.0	0.0	0.0	5.09375	5.983050847457627	6.317073170731708	6.311320754716981	6.15625	0.0	0.0	0.0	0.0	0.0	0.0
03_StraParlaA_whi	2	4.343650000000002	823	785	3	34	1	0	128	7	7	2	0	4	24	A	Eleonora	Revised	-	-	-	-	-	-	-	-	28	63	97	131	139	0	0	0	0	0	0	174	380	580	774	823	0	0	0	0	0	0	1.9371428571428575	1.9056031746031745	1.8826288659793817	1.8641603053435123	1.874956834532375	0.0	0.0	0.0	0.0	0.0	0.0	6.214285714285714	6.031746031746032	5.979381443298969	5.908396946564886	5.920863309352518	0.0	0.0	0.0	0.0	0.0	0.0
02_StraParlaB_R	2	3.384216666666667	594	590	0	1	1	2	50	5	0	0	3	0	15	R	-	Whisper-Assisted	no			64	104	173	191	725	18	48	79	85	0	0	0	0	0	0	0	184	358	529	594	0	0	0	0	0	0	0	3.2696111111111112	2.4874791666666667	2.24073417721519	2.388858823529412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.222222222222221	7.458333333333333	6.69620253164557	6.988235294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02_ParlaBOA_I	2	4.210299999999999	729	685	9	28	7	0	64	36	15	15	7	0	63	I	-	Whisper-Assisted	sì			69	138	229	254	677	21	45	63	79	86	0	0	0	0	0	0	164	359	533	689	729	0	0	0	0	0	0	2.8504761904761904	2.7691111111111106	2.8869841269841254	3.020493670886075	2.937418604651162	0.0	0.0	0.0	0.0	0.0	0.0	7.809523809523809	7.977777777777778	8.46031746031746	8.721518987341772	8.476744186046512	0.0	0.0	0.0	0.0	0.0	0.0
