64	SP2	dalle torri: a: san petronio: insomma è proprio bella: a livello secondo me architettonico: e storico	dalle torri a san petronio insomma è proprio bella a livello secondo me architettonico e storico
65	SP2	e:h poi la vita c'è sempre un sacco di cose da fare: se il weekend esci è pieno di gente [in centro] tutti i locali:	eh poi la vita c è sempre un sacco di cose da fare se il weekend esci è pieno di gente in centro tutti i locali

66	SP1	[è vero]	è vero

67	SP2	e:h appunto senti che è viva è molto vissuta come città	eh appunto senti che è viva è molto vissuta come città
68	SP2	e:h poi vabbè ci sono concerti; stadio cioè ci son tante cose da fare: se se vuoi: se vuoi viverla quindi secondo me queste sono un pò:	eh poi vabbè ci sono concerti stadio cioè ci son tante cose da fare se se vuoi se vuoi viverla quindi secondo me queste sono un po':

69	SP1	i mezzi di trasporto anche:	i mezzi di trasporto anche

70	SP2	e:h i mezzi di trasporto: come dicevo se sei in centro sto- dentro alle mura	eh i mezzi di trasporto come dicevo se sei in centro sto dentro alle mura
71	SP2	m:h vai in bicicletta vai a piedi ovunque menomale	mh vai in bicicletta vai a piedi ovunque menomale
72	SP2	anche l'autobus secondo me funzionano abbastanza bene non mi sembrano:	anche l autobus secondo me funzionano abbastanza bene non mi sembrano
73	SP2	cioè m:h particolarmente: inefficienti	cioè mh particolarmente inefficienti

74	SP1	[mhmh]	mhmh

75	SP2	[però:]	però
76	SP2	sì l- la macchina a bologna non è: vivibile	sì l la macchina a bologna non è vivibile

77	SP1	non è [vivibile]	non è vivibile

78	SP2	[non è] vivibile perchè se ripeto de- se: sei fuori dal centro magari la usi [per] andare	non è vivibile perché se ripeto de se sei fuori dal centro magari la usi per andare

79	SP1	[mhmh]	mhmh

80	SP2	non so all'ikea o:	non so all ikea o

81	SP1	sì ((ride))	sì {ride}

82	SP2	fuori ((ride))	fuori {ride}
83	SP2	se devi venire in centro: è proprio scomodo perchè: ripet- ripeto vedo delle file per entrare nel parcheggio ((ride)) cioè quello lì in piazza otto agosto	se devi venire in centro è proprio scomodo perché ripet ripeto vedo delle file per entrare nel parcheggio {ride} cioè quello lì in piazza otto agosto

84	SP1	mhmh	mhmh

85	SP2	che tutte le settimane è abbastanza:	che tutte le settimane è abbastanza
86	SP2	x abbastanza lunga quella fila quindi:	x abbastanza lunga quella fila quindi
87	SP2	io: ho delle amiche che hanno la macchina	io ho delle amiche che hanno la macchina

88	SP1	mhmh	mhmh

89	SP2	perchè vivono fuori	perché vivono fuori
90	SP2	però anche loro ad esempio quando devono venire a casa mia [e:h]	però anche loro ad esempio quando devono venire a casa mia eh

91	SP1	[eh] fanno più [fatica]	eh fanno più fatica

92	SP2	[fanno più fatica] a parcheggiare:	fanno più fatica a parcheggiare
93	SP2	poi e:h dentro alle mura comunque e:h m:h anche (.) maggiormente fuori alle mura è tutto a pagamento il parcheggio	poi eh dentro alle mura comunque eh mh anche {PAUSE} maggiormente fuori alle mura è tutto a pagamento il parcheggio

94	SP1	sì e costa anche: [abbastanza]	sì e costa anche abbastanza

95	SP2	[costa abbastanza] quindi o vieni dopo le otto: viene x dopo le otto per entrare in ztl eccetera	costa abbastanza quindi o vieni dopo le otto viene x dopo le otto per entrare in ztl eccetera
96	SP2	però: vivere con la macchina a bologna: è [difficile]	però vivere con la macchina a bologna è difficile

97	SP1	[mh]mh	mhmh

98	SP2	sì	sì
99	SP2	sì infatti:	sì infatti
100	SP2	(insomma) sì se si vive a bologna: [(insomma)]	insomma sì se si vive a bologna insomma

101	SP1	[eh magari] anche con una famiglia poi [diventa un pò troppo]	eh magari anche con una famiglia poi diventa un po troppo

102	SP2	[e:h esatto infatti] è quello che penso anch'io con una famiglia dopo ti devi muovere sempre a piedi: devi sempre: cioè metti che li devi portare all'asilo devi andare: eh	eh esatto infatti è quello che penso anch io con una famiglia dopo ti devi muovere sempre a piedi devi sempre cioè metti che li devi portare all asilo devi andare eh
103	SP2	a forlì ad esempio: con la macchina vai ovunque [e:h in piazza c'è] il parcheggio dietro alla piazza cioè	a forlì ad esempio con la macchina vai ovunque eh in piazza c è il parcheggio dietro alla piazza cioè

104	SP1	[eh esatto infatti]	eh esatto infatti

105	SP2	è è totalmente diverso	è è totalmente diverso
106	SP2	poi dal lato e:h secondo me m:h ambikentale ((ride)) sicuramente [è meglio non prendere la macchina]	poi dal lato eh secondo me mh ambikentale {ride} sicuramente è meglio non prendere la macchina

107	SP1	[è meglio eh sì]	è meglio eh sì

108	SP2	quindi:	quindi
109	SP2	però anch'io son cresciuta a forlì quindi sono abituata a prender la macchina [praticamente sempre]	però anch io son cresciuta a forlì quindi sono abituata a prender la macchina praticamente sempre

110	SP1	[anche io per ogni] cosa esatto	anche io per ogni cosa esatto

111	SP2	infatti quando quando torno a forlì è strano perchè sono talmente abituata a prendere la macchina	infatti quando quando torno a forlì è strano perché sono talmente abituata a prendere la macchina
112	SP2	che la s- la distanza che a bologna farei tranquillamente a piedi a forlì mi viene da fare con la macchi[na]	che la s la distanza che a bologna farei tranquillamente a piedi a forlì mi viene da fare con la macchina

113	SP1	[mh]mh	mhmh

114	SP2	perchè dico vabbè devo andare là cosa vado a piedi:	perché dico vabbè devo andare là cosa vado a piedi

115	SP1	[nono è vero è vero]	nono è vero è vero

116	SP2	[perchè ho sempre preso la macchina	perché ho sempre preso la macchina
117	SP2	e:h invece a bologna dico vabbè ma sono solo dieci [quindici minuti a piedi] ((ride))	eh invece a bologna dico vabbè ma sono solo dieci quindici minuti a piedi {ride}

118	SP1	[sìsì sìsì]	sìsì sìsì
119	SP1	che se ci pensi da un fattore ambientale [è: proprio:]	che se ci pensi da un fattore ambientale è proprio

120	SP2	[mh sì]	mh sì

121	SP1	una m-	una m

122	SP2	infatti: un pò vorrei poi dopo non lo faccio però quando torno a forlì vorrei un pò portarmi dietro questo: [questo cosa] questa camminata che mi è:	infatti un po vorrei poi dopo non lo faccio però quando torno a forlì vorrei un po portarmi dietro questo questo cosa questa camminata che mi è

123	SP1	[queste cose]	queste cose
124	SP1	beh dai è anche una bella cosa che ti ha lasciato [comunque]	beh dai è anche una bella cosa che ti ha lasciato comunque

125	SP2	[sì no quello:] quello sì sicuramente:	sì no quello quello sì sicuramente
126	SP2	perchè: m:h cioè ti rendi conto che alla fine	perché mh cioè ti rendi conto che alla fine
127	SP2	se ci pensi per ora che vai; prendi la macchina; pre- [trovi] il parcheggio; alla fine non è che guadagni chissà quanto tempo [è proprio x la] sfatica di:	se ci pensi per ora che vai prendi la macchina pre trovi il parcheggio alla fine non è che guadagni chissà quanto tempo è proprio x la sfatica di

128	SP1	[eh]	eh
129	SP1	[anche secondo me]	anche secondo me
130	SP1	[è vero]	è vero

131	SP2	[dire vado] a piedi però	dire vado a piedi però
132	SP2	sì no secondo me è: quello è anche il bello di bologna che: cioè cammini cammini [tutto il te-]	sì no secondo me è quello è anche il bello di bologna che cioè cammini cammini tutto il te

133	SP1	[sembra tutto] vicino [sìsìsì]	sembra tutto vicino sìsìsì

134	SP2	[sembra tutto] vicino: e ti abitui a camminare	sembra tutto vicino e ti abitui a camminare
135	SP2	un pò la f-la: cultura della camminata [bolognese] ((ride))	un po la f-la: cultura della camminata bolognese {ride}

136	SP1	[mhmh è vero]	mhmh è vero
137	SP1	infatti poi c'è anche tutto il percorso di andare su	infatti poi c è anche tutto il percorso di andare su

138	SP2	eh infatti sìsìsì	eh infatti sìsìsì

139	SP1	e:h invece gli aspetti più: negativi che: proprio vorresti cambiare della città?	eh invece gli aspetti più negativi che proprio vorresti cambiare della città

140	SP2	allora e:h un pò ne abbiam parlato già e:h l- la questione: m:h	allora eh un po ne abbiam parlato già eh l la questione mh
141	SP2	immobiliare a [bologna è molto] difficile	immobiliare a bologna è molto difficile

142	SP1	[mhmh sì]	mhmh sì

143	SP2	sia per gli affitti che per le vendite è proprio:	sia per gli affitti che per le vendite è proprio
144	SP2	infatti devo- m:h devono fare qualcosa perchè non non è possibile: continuare così io vedo anche i miei studenti perchè io seguo glio studenti internazionali	infatti devo mh devono fare qualcosa perché non non è possibile continuare così io vedo anche i miei studenti perché io seguo glio studenti internazionali

145	SP1	mhmh	mhmh

146	SP2	che vengono a bologna a studiare: tutto il corso non solo: a fare l'erasmus	che vengono a bologna a studiare tutto il corso non solo a fare l erasmus
147	SP2	e:h e loro fanno davvero fatica cioè	eh e loro fanno davvero fatica cioè

148	SP1	a trovare	a trovare

149	SP2	noi	noi
150	SP2	alcuni eh arrivano e poi tornano a casa perchè non trovano casa cioè per far capire il livello di:	alcuni eh arrivano e poi tornano a casa perché non trovano casa cioè per far capire il livello di
151	SP2	di difficoltà e:h questo secondo me sicuramente il comunque deve lavorare per per rendere più accessibile:	di difficoltà eh questo secondo me sicuramente il comunque deve lavorare per per rendere più accessibile

152	SP1	sì anche [secondo me]	sì anche secondo me

153	SP2	[l'abitabilità] sì non non è possibile	l abitabilità sì non non è possibile
154	SP2	e:h poi: un pò: un pò di lavoro lo farei anche su: mh sul degrado che ogni tanto c'è in [alcune] strade:	eh poi un po': un po di lavoro lo farei anche su mh sul degrado che ogni tanto c è in alcune strade

155	SP1	[mhmh]	mhmh

156	SP2	sia dal punto di vista del	sia dal punto di vista del
157	SP2	appunto come dicevo dei graffiti [del] del come è mantenuto	appunto come dicevo dei graffiti del del come è mantenuto

158	SP1	[sì]	sì
159	SP1	mhmh	mhmh

160	SP2	e:h come sono mantenuti i palazzi; i portici si può si può migliorare sicuramente:	eh come sono mantenuti i palazzi i portici si può si può migliorare sicuramente
